C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
0;0;1,75E+16;1,32E+14;1,35E+16;1,42E+14;8,27E+14;1,74E+13;1,49E+16;6,78E+12
0;0;2,40E+16;2,47E+14;1,67E+16;1,27E+14;1,60E+16;6,94E+13;2,18E+16;2,75E+13
0;0;1,25E+16;5,02E+13;1,20E+16;1,30E+14;1,25E+16;4,04E+13;1,28E+16;8,95E+12
0;0;2,14E+16;3,46E+14;1,77E+16;1,35E+14;3,60E+14;1,34E+12;2,39E+16;3,56E+12
0;0;1,51E+16;3,37E+14;2,40E+16;1,70E+14;2,09E+16;8,07E+13;6,67E+14;3,02E+13
0;0;4,02E+14;1,00E+14;1,01E+16;8,07E+13;1,15E+16;2,71E+13;2,51E+14;2,40E+13
0;0;1,42E+16;1,38E+14;9,63E+14;1,79E+14;9,98E+14;2,56E+13;8,01E+14;1,58E+13
0;0;2,00E+16;1,19E+14;9,18E+14;6,88E+13;1,05E+16;5,30E+13;7,95E+14;5,79E+13
0;0;1,36E+16;2,46E+14;9,49E+14;9,83E+13;1,05E+16;1,87E+13;8,00E+14;4,10E+13
0;0;1,46E+16;1,15E+14;2,89E+14;1,28E+14;1,21E+16;1,29E+14;3,66E+14;4,06E+13
0;0;4,43E+14;2,39E+14;6,78E+14;1,20E+14;1,05E+16;3,36E+13;8,99E+14;3,93E+13
0;0;1,70E+16;3,03E+14;2,25E+14;1,72E+13;5,01E+14;7,29E+13;2,86E+16;2,45E+13
0;0;7,12E+14;7,29E+13;5,21E+14;5,54E+13;1,60E+14;5,47E+13;1,22E+16;5,24E+12
0;0;1,74E+16;2,58E+14;7,64E+14;1,31E+14;9,95E+14;4,93E+13;5,52E+14;1,89E+13
0;0;1,44E+16;2,73E+14;9,46E+14;1,38E+14;9,83E+14;6,72E+13;1,32E+14;1,65E+13
0;0;1,77E+16;3,30E+14;8,86E+14;4,77E+13;2,11E+16;5,39E+13;6,09E+14;6,00E+13
0;0;2,27E+16;4,04E+14;1,97E+16;1,12E+14;1,52E+16;1,36E+14;1,56E+16;1,81E+13
0;0;1,19E+16;2,84E+14;1,25E+16;1,08E+14;2,99E+16;1,56E+14;1,36E+16;2,42E+13
0;0;7,33E+14;8,14E+13;1,59E+16;1,37E+14;1,51E+16;9,71E+13;2,41E+14;3,27E+13
0;0;1,37E+16;3,14E+14;9,26E+14;9,99E+13;1,24E+16;6,57E+13;1,08E+16;1,00E+13
0;0;9,70E+14;2,02E+14;1,60E+16;1,23E+14;1,71E+16;6,27E+13;1,12E+16;3,28E+13
0;0;2,52E+16;3,47E+14;1,59E+16;2,10E+14;6,98E+14;1,45E+13;2,66E+16;4,16E+13
0;0;1,20E+16;2,72E+14;2,23E+14;1,36E+14;1,78E+16;2,43E+13;1,84E+16;4,29E+13
0;0;1,36E+16;2,09E+14;1,60E+16;1,49E+14;1,94E+16;5,67E+13;1,42E+16;4,22E+13
0;0;1,34E+16;2,91E+14;1,44E+16;1,16E+14;1,53E+16;7,31E+13;7,85E+14;2,99E+13
0;0;1,64E+16;2,47E+14;8,70E+14;1,38E+14;8,96E+14;7,36E+13;1,55E+16;2,08E+13
0;0;2,83E+14;1,36E+14;8,57E+14;2,61E+13;1,12E+16;5,35E+13;1,90E+14;2,90E+13
0;0;1,55E+16;8,50E+13;1,03E+16;7,98E+13;1,31E+16;2,98E+13;5,47E+14;3,63E+13
0;0;1,89E+14;2,10E+14;1,58E+16;2,18E+14;2,50E+16;3,03E+13;8,41E+14;3,33E+13
0;0;1,64E+16;1,09E+14;1,20E+16;1,33E+14;1,09E+16;4,17E+13;6,61E+14;3,86E+13
0;0;3,06E+16;4,04E+14;9,13E+14;1,27E+14;1,44E+16;7,82E+13;1,60E+16;1,14E+13
0;0;1,87E+16;3,79E+14;1,15E+16;1,15E+14;1,05E+16;5,89E+13;5,48E+14;5,44E+13
0;0;8,89E+14;1,12E+14;1,62E+16;3,47E+13;7,48E+14;2,51E+13;7,74E+14;3,07E+13
0;0;3,90E+14;1,24E+14;2,55E+16;1,85E+14;1,16E+16;5,74E+13;2,35E+16;1,06E+13
0;0;1,73E+16;1,07E+14;5,53E+14;1,09E+14;4,52E+14;8,55E+13;2,06E+16;2,49E+13
0;0;1,85E+16;2,95E+14;5,34E+14;7,27E+13;1,99E+16;7,03E+13;4,49E+14;1,55E+13
0;0;7,52E+14;2,27E+14;4,97E+14;7,97E+13;6,05E+14;5,11E+13;2,18E+16;6,53E+13
0;0;5,68E+14;2,17E+13;2,34E+16;1,87E+14;2,13E+16;1,02E+14;1,73E+16;1,55E+13
0;0;1,72E+16;4,40E+14;1,41E+16;2,23E+14;1,24E+16;6,58E+13;1,03E+16;2,57E+13
0;0;1,78E+16;4,24E+14;1,02E+16;1,59E+14;1,03E+16;1,06E+14;1,12E+16;5,26E+12
0;0;1,17E+16;9,23E+13;1,33E+16;1,14E+14;2,34E+16;8,31E+13;1,14E+16;3,63E+13
0;0;1,39E+16;3,18E+14;6,67E+14;1,02E+14;1,22E+16;9,67E+13;6,00E+14;8,95E+12
0;0;1,38E+16;2,18E+14;4,38E+14;8,64E+13;1,06E+16;4,47E+13;1,27E+16;3,37E+13
0;0;7,12E+14;1,66E+14;5,49E+14;1,30E+14;1,27E+16;1,48E+13;1,67E+16;3,58E+13
0;0;5,16E+14;4,10E+13;2,17E+16;1,49E+14;7,83E+14;5,14E+13;5,45E+14;2,22E+13
0;0;7,13E+14;3,72E+14;8,53E+14;1,01E+14;1,69E+16;7,26E+13;1,15E+16;9,79E+12
0;0;8,48E+14;2,67E+14;1,83E+16;1,41E+14;1,14E+16;7,05E+13;9,05E+14;3,57E+13
0;0;5,66E+14;1,95E+14;1,48E+16;2,18E+14;1,09E+16;9,04E+13;2,95E+16;3,02E+13
0;0;2,01E+16;1,80E+14;2,02E+16;1,90E+14;8,43E+14;2,99E+13;1,00E+16;3,85E+13
0;0;7,87E+14;1,67E+14;1,38E+16;2,26E+14;1,61E+16;1,17E+14;2,39E+16;3,63E+13
0;0;1,90E+16;1,70E+14;1,46E+16;8,38E+13;4,40E+14;7,97E+13;7,84E+14;4,31E+13
0;0;7,66E+14;7,85E+13;1,82E+16;1,11E+14;1,19E+16;3,06E+13;1,01E+16;5,01E+13
0;0;2,76E+16;3,71E+14;7,40E+14;2,08E+13;3,07E+16;1,06E+14;1,38E+16;1,22E+13
0;0;1,39E+16;1,94E+14;8,62E+14;3,84E+13;1,17E+16;7,68E+13;7,71E+14;2,58E+13
0;0;8,44E+14;1,14E+14;2,65E+14;1,05E+14;8,49E+14;3,32E+13;1,49E+16;3,43E+13
0;0;1,28E+16;9,32E+13;1,20E+16;1,38E+14;1,58E+16;1,67E+13;2,11E+16;1,74E+13
0;0;1,01E+16;1,96E+14;1,29E+16;1,37E+14;2,78E+14;3,55E+13;1,19E+16;4,60E+13
0;0;7,69E+14;2,02E+14;3,51E+14;1,12E+14;1,76E+16;4,39E+13;1,51E+14;1,73E+13
0;0;1,83E+16;2,70E+14;1,21E+16;1,57E+14;2,44E+16;1,02E+14;1,29E+16;5,49E+13
0;0;2,04E+14;8,97E+13;1,80E+16;1,04E+14;2,32E+14;9,15E+13;9,23E+14;2,41E+13
0;0;8,58E+14;7,75E+13;5,93E+14;6,23E+13;7,66E+14;4,49E+13;1,85E+16;2,75E+13
0;0;3,58E+14;1,33E+14;5,38E+14;7,11E+13;6,15E+14;7,93E+13;1,59E+16;1,90E+13
0;0;1,47E+16;9,21E+13;2,17E+16;2,65E+14;6,08E+14;8,14E+13;6,25E+14;6,04E+13
0;0;7,26E+14;1,69E+14;1,24E+16;6,23E+13;9,39E+14;2,38E+13;1,58E+16;6,10E+12
0;0;1,46E+16;2,98E+14;8,66E+14;1,74E+13;2,20E+16;5,29E+13;2,53E+16;5,10E+13
0;0;1,02E+16;2,98E+14;6,33E+14;6,17E+13;1,67E+16;5,24E+13;4,80E+14;3,42E+13
0;0;9,20E+14;1,94E+14;1,08E+16;4,46E+13;1,61E+16;2,86E+13;9,75E+14;3,48E+13
0;0;5,08E+14;1,15E+14;2,00E+16;2,43E+14;1,20E+16;1,26E+13;6,79E+14;4,59E+13
0;0;9,05E+14;9,06E+13;6,26E+14;3,09E+13;2,44E+16;1,45E+14;6,47E+14;5,12E+13
0;0;5,07E+14;5,16E+13;6,96E+14;6,87E+13;4,50E+14;3,13E+13;3,55E+14;4,92E+13
0;0;3,20E+14;1,89E+14;2,06E+16;2,80E+14;8,88E+14;4,77E+13;2,43E+16;2,61E+13
0;0;1,28E+16;2,35E+14;1,30E+16;8,85E+13;7,79E+14;8,09E+13;1,74E+16;2,23E+12
0;0;8,82E+14;1,93E+14;1,06E+16;1,40E+14;3,01E+16;7,82E+13;9,25E+14;5,19E+13
0;0;9,07E+14;2,18E+14;9,53E+14;7,63E+13;1,32E+16;2,49E+13;1,58E+16;3,56E+13
0;0;5,02E+14;1,70E+14;3,70E+14;1,54E+13;1,06E+16;8,14E+13;2,10E+16;3,33E+13
0;0;3,78E+14;4,27E+13;8,34E+14;6,44E+13;1,28E+16;7,34E+13;1,25E+16;1,80E+13
0;0;1,50E+16;2,53E+14;1,84E+16;2,32E+14;9,12E+14;2,41E+13;1,72E+16;4,75E+13
0;0;1,57E+16;2,41E+14;2,00E+16;1,31E+14;1,82E+16;2,65E+13;5,60E+14;6,68E+13
0;0;2,54E+16;4,47E+14;2,10E+16;2,33E+14;1,75E+16;4,40E+13;2,41E+16;3,28E+13
0;0;1,88E+16;2,18E+14;1,83E+16;1,81E+14;1,06E+16;5,47E+13;1,42E+16;4,11E+13
0;0;2,29E+16;4,81E+14;1,50E+16;2,74E+14;2,86E+16;6,56E+13;1,34E+16;5,67E+13
0;0;1,48E+16;2,49E+14;1,25E+16;8,47E+13;2,49E+16;4,97E+13;2,05E+16;4,50E+13
0;0;7,96E+14;2,82E+14;1,04E+14;1,73E+14;1,65E+16;1,34E+14;1,62E+16;2,33E+13
0;0;1,44E+16;2,88E+14;1,11E+16;1,44E+14;4,94E+14;4,69E+13;1,23E+16;3,45E+13
0;0;1,34E+16;1,95E+14;8,49E+14;1,01E+14;8,76E+14;1,11E+14;1,81E+16;2,27E+13
0;0;4,86E+14;1,92E+14;6,52E+14;5,19E+13;1,44E+16;5,34E+13;1,02E+16;3,84E+13
0;0;3,38E+14;1,78E+14;1,58E+16;9,33E+13;1,44E+16;1,09E+13;4,56E+14;2,02E+13
0;0;8,59E+14;2,25E+14;1,43E+16;1,16E+14;2,17E+16;5,93E+13;1,72E+16;1,76E+13
0;0;1,30E+16;2,01E+14;3,63E+14;8,34E+13;1,82E+16;1,23E+14;8,62E+14;4,95E+13
0;0;1,47E+14;1,11E+14;9,30E+14;7,66E+13;1,19E+16;6,47E+13;7,24E+14;4,07E+13
0;0;1,60E+16;1,67E+14;1,25E+16;1,20E+14;2,21E+16;1,03E+14;1,06E+16;3,05E+13
0;0;1,78E+16;3,12E+14;1,16E+16;1,61E+14;1,58E+16;1,11E+14;9,30E+14;1,01E+13
0;0;1,66E+16;2,20E+14;1,37E+16;1,31E+14;1,29E+16;1,00E+13;4,61E+14;1,43E+13
0;0;3,74E+14;2,75E+14;7,95E+14;1,33E+14;1,93E+16;3,81E+13;3,41E+14;4,73E+13
0;0;2,52E+14;3,44E+14;9,92E+14;4,24E+13;1,25E+16;5,92E+13;1,46E+14;2,47E+13
0;0;8,82E+14;1,24E+14;1,67E+16;1,79E+14;9,43E+14;4,98E+13;8,11E+14;2,84E+13
0;0;2,19E+14;1,14E+14;9,75E+14;1,63E+14;2,72E+16;1,55E+14;1,87E+16;2,19E+13
0;0;2,37E+16;4,89E+14;9,21E+14;4,29E+13;1,17E+16;2,19E+13;2,33E+16;5,30E+13
0;0;2,05E+16;2,69E+14;1,48E+16;1,58E+14;2,70E+14;3,04E+13;1,51E+16;5,66E+13
0;0;2,06E+16;1,81E+14;9,97E+14;1,17E+14;6,57E+14;1,20E+14;1,38E+16;1,01E+13
0;0;7,83E+14;9,14E+13;2,15E+16;3,25E+14;1,06E+16;1,80E+13;2,25E+16;3,53E+13
0;0;6,32E+14;1,91E+14;6,82E+14;9,43E+13;1,10E+16;5,41E+13;1,09E+16;1,81E+13
0;0;1,43E+16;1,24E+14;1,83E+16;9,14E+13;1,38E+16;7,47E+13;2,21E+16;1,30E+13
0;0;1,14E+16;9,56E+13;2,94E+14;3,59E+13;1,16E+16;4,32E+13;3,91E+14;2,47E+13
0;0;1,54E+16;3,73E+14;3,44E+14;7,09E+13;9,30E+14;1,87E+13;5,72E+14;3,19E+13
0;0;1,51E+16;2,44E+14;2,71E+16;2,89E+14;2,03E+16;8,83E+13;1,71E+16;1,27E+13
0;0;4,46E+14;4,32E+13;1,36E+16;3,31E+13;2,65E+14;3,05E+13;1,05E+16;7,66E+12
0;0;1,07E+16;1,45E+14;1,90E+16;1,22E+14;2,04E+16;6,90E+13;1,16E+16;4,96E+13
0;0;1,07E+16;5,90E+13;1,73E+16;1,14E+14;1,17E+16;7,96E+13;1,58E+16;3,29E+13
0;0;1,30E+16;1,75E+14;7,37E+14;2,62E+13;1,42E+16;5,72E+13;1,80E+16;3,06E+13
0;0;1,92E+16;3,75E+14;7,58E+14;2,60E+13;2,38E+16;3,69E+13;1,53E+16;1,86E+13
0;0;2,81E+14;6,93E+13;1,55E+16;2,21E+14;1,48E+14;5,44E+13;1,96E+16;1,99E+13
0;0;1,38E+16;2,01E+14;7,40E+14;1,11E+14;2,81E+16;4,49E+13;1,75E+16;5,40E+13
0;0;8,95E+14;5,91E+13;6,73E+14;1,12E+14;9,75E+14;4,35E+13;4,14E+14;1,81E+13
0;0;1,81E+16;3,52E+14;5,76E+14;2,55E+13;1,04E+16;3,45E+13;1,20E+16;7,15E+13
0;0;2,68E+16;2,84E+14;4,91E+14;8,11E+13;1,17E+16;1,11E+14;7,46E+14;5,42E+13
0;0;1,69E+16;1,61E+14;1,19E+16;1,31E+14;8,34E+14;4,58E+13;8,56E+14;6,24E+13
0;0;1,02E+16;1,61E+14;1,03E+16;1,05E+14;1,83E+16;6,40E+13;1,07E+16;3,79E+13
0;0;1,46E+16;2,71E+13;1,68E+16;7,92E+13;1,65E+16;6,53E+13;2,26E+16;7,85E+13
0;0;1,74E+16;2,13E+14;1,78E+16;1,00E+14;5,02E+14;2,96E+13;3,37E+14;5,30E+13
0;0;1,13E+16;1,40E+14;1,68E+16;2,46E+14;3,48E+16;1,53E+14;2,50E+16;5,90E+13
0;0;8,35E+14;3,60E+14;1,82E+16;2,26E+14;1,29E+16;5,81E+13;2,46E+16;7,13E+13
0;0;1,73E+16;1,90E+14;2,00E+16;1,15E+14;5,98E+14;5,03E+13;1,07E+16;2,97E+13
0;0;1,02E+16;2,06E+14;1,53E+16;1,40E+14;9,13E+14;7,83E+13;1,13E+16;3,68E+13
