C_n,Fai_n,e2(input),v2(output),e3,v3,e4,v4,e5,v5
0,0,0.150293035,1.92E-02,0.145373933,1.50E-02,4.52E-02,2.84E-03,0.180431696,1.80E-03
0,0,3.51E-02,1.40E-02,0.109997179,2.92E-02,0.141185571,6.35E-03,0.151104592,1.62E-03
0,0,5.67E-02,1.56E-02,0.115668777,1.19E-02,0.108414885,8.55E-03,4.46E-02,6.71E-04
0,0,9.44E-02,2.85E-02,0.173071116,7.29E-03,9.60E-02,3.91E-03,6.23E-02,1.55E-03
0,0,4.86E-02,3.23E-03,8.19E-02,1.18E-02,5.36E-02,1.46E-03,7.92E-02,1.23E-03
0,0,0.120363097,3.14E-02,2.95E-02,9.83E-03,4.21E-02,4.20E-03,0.258742354,2.33E-03
0,0,0.177907039,3.25E-02,8.56E-02,9.57E-03,8.69E-02,6.19E-03,0.215359051,3.24E-03
0,0,5.06E-02,1.34E-02,0.101950407,1.15E-02,0.141931926,2.46E-03,0.134759344,2.49E-03
0,0,8.98E-02,3.05E-02,0.172262672,1.63E-02,6.45E-02,4.11E-03,0.127336219,4.10E-03
0,0,4.49E-02,9.39E-03,7.18E-02,3.59E-03,0.155548652,1.03E-02,9.08E-02,3.40E-03
0,0,0.148145117,3.46E-02,0.144936181,1.59E-02,0.144161336,5.62E-03,0.208314708,2.80E-03
0,0,7.56E-02,5.50E-03,7.42E-02,6.89E-03,3.60E-02,9.71E-03,9.04E-02,8.93E-04
0,0,4.43E-02,1.13E-02,3.67E-02,8.65E-03,7.66E-02,5.39E-03,0.12418346,2.53E-03
0,0,0.10989844,1.18E-02,7.80E-02,5.80E-03,8.53E-02,1.01E-02,2.75E-02,1.49E-03
0,0,2.78E-02,1.50E-02,6.06E-02,3.36E-03,0.137233493,5.11E-03,0.154697344,4.12E-03
0,0,0.247698367,3.77E-02,0.223759936,2.19E-02,0.17261651,2.34E-03,0.192133834,4.26E-03
0,0,0.171970006,9.13E-03,0.156051169,1.35E-02,0.325753291,1.06E-02,0.119752076,3.05E-03
0,0,0.107726684,3.29E-02,0.115787356,1.23E-02,0.314600181,1.00E-02,0.127499253,2.02E-03
0,0,0.182148468,4.05E-02,8.47E-02,4.78E-03,0.282116249,5.67E-03,0.20725336,3.07E-03
0,0,3.97E-02,3.41E-03,0.235264216,1.92E-02,0.15006923,5.14E-03,0.13425828,1.77E-03
0,0,9.35E-02,1.79E-02,0.105308659,1.02E-02,0.103057336,5.39E-03,0.237431152,3.94E-03
0,0,0.139691325,1.34E-02,1.38E-02,7.27E-03,0.101699942,1.16E-02,6.55E-02,3.33E-03
0,0,5.27E-02,1.83E-02,0.191895054,9.60E-03,5.79E-02,4.94E-03,6.34E-02,3.32E-03
0,0,0.103572842,2.53E-02,6.99E-02,1.11E-02,0.117657148,7.50E-03,0.196807501,2.79E-03
0,0,0.246927504,4.26E-02,0.146169821,1.78E-02,0.190829133,7.71E-03,0.176860331,1.31E-03
0,0,0.156697997,3.25E-02,0.226545394,3.96E-02,8.41E-02,4.44E-03,0.227873404,5.10E-03
0,0,0.249703493,5.11E-02,0.196156694,2.19E-02,5.82E-02,5.49E-03,6.75E-02,4.67E-03
0,0,0.165508763,3.08E-02,0.113304444,1.56E-02,0.146427743,4.82E-03,0.182325122,2.84E-03
0,0,0.155652322,7.83E-03,0.163009731,4.87E-03,0.147774552,7.92E-03,0.125987415,3.04E-03
0,0,7.87E-02,2.43E-02,5.22E-02,1.35E-02,0.124660028,4.54E-03,7.91E-02,1.68E-03
0,0,0.105088138,3.47E-03,6.04E-02,4.38E-03,6.19E-02,1.50E-03,0.294854965,3.39E-03
0,0,0.137341468,2.28E-02,0.144477551,3.24E-02,0.224395652,7.76E-03,0.11098269,1.35E-03
0,0,0.156654411,1.48E-02,0.188458566,8.12E-03,6.50E-02,4.34E-03,0.162610577,4.29E-03
0,0,0.175287588,1.32E-02,0.13503263,1.42E-02,8.27E-02,1.74E-03,0.148891667,6.78E-04
0,0,0.23999412,2.47E-02,0.167034399,1.27E-02,0.160024575,6.94E-03,0.21822013,2.75E-03
0,0,0.124855506,5.02E-03,0.11977271,1.30E-02,0.125435246,4.04E-03,0.128478921,8.95E-04
0,0,0.21357605,3.46E-02,0.177297902,1.35E-02,3.60E-02,1.34E-04,0.238892852,3.56E-04
0,0,0.150678346,3.37E-02,0.239979336,1.70E-02,0.208568635,8.07E-03,6.67E-02,3.02E-03
0,0,4.02E-02,1.00E-02,0.10121596,8.07E-03,0.115041966,2.71E-03,2.51E-02,2.40E-03
0,0,0.141755766,1.38E-02,9.63E-02,1.79E-02,9.98E-02,2.56E-03,8.01E-02,1.58E-03
0,0,0.199719168,1.19E-02,9.18E-02,6.88E-03,0.10476968,5.30E-03,7.95E-02,5.79E-03
0,0,0.1361581,2.46E-02,9.49E-02,9.83E-03,0.10469783,1.87E-03,8.00E-02,4.10E-03
0,0,0.146279963,1.15E-02,2.89E-02,1.28E-02,0.120549243,1.29E-02,3.66E-02,4.06E-03
