e2(input);v2(output)
0.18620728255837793;3,04E+14
0.11933349561364236;3,04E+14
0.21984943377206703;2,66E+14
6,92E+14;2,05E+14
9,99E+14;3,66E+14
4,21E+14;1,30E+14
7,21E+14;1,56E+14
4,40E+14;1,58E+14
0.26484525319962865;1,69E+14
0.18374245034542366;3,85E+14
0.13746790164747019;1,75E+14
0.27534729222925536;4,02E+14
5,65E+14;1,53E+14
7,59E+14;3,01E+14
0.12798606547909203;2,60E+14
0.11392411329270281;1,18E+14
0.10267738421073276;3,05E+14
5,73E+14;1,48E+14
3,87E+14;7,63E+13
0.14015015357479327;2,92E+14
0.20374988119900500;2,44E+14
9,99E+14;1,91E+14
0.20193763898299696;3,67E+14
0.13946497656179369;2,00E+14
0.19938828641746759;2,64E+14
0.15076617992732538;1,98E+14
8,01E+14;1,06E+14
6,33E+14;7,98E+13
4,68E+14;1,57E+14
4,93E+14;5,90E+13
0.12136940022895686;1,12E+14
6,38E+14;3,62E+13
4,98E+14;3,84E+14
4,40E+14;6,54E+13
0.11861565581393334;4,02E+14
0.20862596300625574;3,39E+14
0.10506625694238345;1,96E+14
0.28854826200464112;3,62E+14
0.14518033446911105;8,16E+13
8,43E+14;8,45E+13
0.29744873914184650;5,34E+14
9,30E+14;2,10E+14
9,58E+14;4,24E+14
8,74E+14;2,23E+14
0.17433647048734724;2,97E+14
0.12124786444082170;1,66E+14
0.11561087585010311;3,95E+13
0.26301211570951011;4,36E+14
8,44E+14;6,10E+13
0.11283248047489174;2,35E+14
8,17E+14;1,99E+14
0.17357452299141168;3,59E+14
0.11453511855052415;8,28E+13
4,76E+14;3,20E+14
6,36E+14;1,30E+14
0.14101736463887768;1,41E+14
0.17740884274742533;1,89E+14
4,01E+14;5,95E+13
0.13854175283618914;2,19E+14
0.15981015052831440;4,40E+14
8,78E+14;1,90E+14
0.12658663376956394;3,31E+14
0.11752534275429602;2,27E+14
6,90E+14;1,74E+14
0.10265069948400439;2,12E+14
0.23580463415662051;2,76E+14
0.19470387075045989;2,10E+14
5,70E+14;1,35E+14
8,20E+14;1,73E+14
7,31E+14;6,96E+13
0.14319610888271184;2,35E+14
0.14941472315712587;2,44E+14
7,19E+14;1,79E+14
0.10267469236915627;1,33E+14
0.13453936211116502;2,05E+14
4,54E+14;1,96E+14
0.13222258549819013;1,20E+14
8,65E+14;7,66E+13
7,79E+14;1,22E+14
9,18E+14;1,24E+14
9,75E+14;8,39E+13
0.17187344492377124;2,86E+14
0.16028054100105862;3,12E+14
0.17934146180816965;3,74E+14
3,51E+14;3,35E+13
0.17236613636082568;3,74E+14
0.22637298646742965;3,66E+14
0.14581102862409109;5,94E+13
0.15267780077291007;2,08E+14
5,53E+14;2,61E+13
0.24835150514724616;2,92E+14
8,89E+14;1,75E+14
0.13426788627246186;1,80E+14
6,09E+14;2,33E+14
7,59E+14;2,23E+14
0.13788734585897669;2,76E+14
0.26284369876301256;3,69E+14
0.23953447816405396;2,75E+14
5,70E+14;5,94E+13
0.11558455962235199;1,99E+14
0.13229345274157439;2,24E+14
7,49E+14;1,25E+14
0.12594318410205657;3,99E+14
0.16483026152090915;2,26E+14
0.18437374479195226;1,74E+14
0.11731546586236291;2,90E+14
0.14735153987978511;3,69E+14
0.25526507623023265;2,91E+14
0.14033391162692632;2,10E+14
0.17621455258237734;2,08E+14
8,18E+14;1,38E+14
0.11049314572184459;2,29E+14
7,94E+14;2,36E+14
0.13065441596069721;1,35E+14
1,58E+14;1,27E+14
3,60E+14;1,16E+14
2,76E+14;4,18E+13
4,70E+14;1,78E+14
0.11203410285778921;1,77E+14
0.12151085917947861;2,52E+13
0.12716156724794733;3,73E+14
0.12933665987943063;3,60E+13
0.10861375404547310;1,23E+14
8,18E+14;2,46E+14
0.31476281610502627;4,73E+14
9,60E+14;3,27E+14
9,78E+14;2,30E+14
0.20904904120879497;2,61E+14
0.22354605557416457;3,82E+14
0.10357497341099986;2,23E+14
7,32E+14;2,06E+14
0.10957115701042808;9,85E+13
9,09E+14;2,09E+14
0.15514238636695629;2,36E+14
5,60E+14;1,00E+14
0.19301789511870124;5,08E+14
0.10190811086937349;1,83E+14
0.13803898069049342;1,30E+14
0.12439414082973400;8,87E+13
6,20E+14;2,56E+13
8,10E+14;5,95E+13
0.22700878375410155;5,59E+14
5,90E+14;9,47E+13
8,08E+14;2,73E+14
0.20402204767860196;2,79E+14
0.18224661964630806;3,20E+14
0.14140325503637816;2,61E+14
7,30E+12;6,07E+13
5,86E+14;1,97E+14
0.13757619398931989;1,12E+14
0.11859267191083506;1,78E+14
0.13576752302896530;2,31E+14
0.11487119926617370;1,33E+14
3,70E+14;1,05E+14
9,95E+14;2,06E+14
0.21225057746291381;2,52E+14
0.23849227001025189;4,24E+14
0.14718355194092331;1,59E+14
0.22374345007562838;2,92E+14
0.11236629309922351;1,53E+14
0.18732973607097914;2,97E+14
9,17E+14;9,57E+13
0.15427021546994255;2,30E+14
0.10983336838459429;2,42E+14
7,32E+14;1,84E+14
0.18118142987356042;2,94E+14
8,88E+14;2,47E+13
3,27E+14;6,46E+13
8,99E+14;1,10E+14
0.11059529393153915;3,40E+14
0.15398428790249877;1,54E+14
5,21E+14;4,31E+13
0.19753662789906151;3,92E+14
0.14027942679213348;2,84E+14
7,30E+14;2,26E+14
5,94E+14;5,27E+13
0.27453046176004842;5,21E+14
0.12701283949998954;2,63E+14
4,31E+14;1,39E+14
4,61E+14;1,64E+14
7,52E+14;2,58E+14
