Column1;C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
;0;0;1,3628E+16;2,08525E+14;1,60007E+16;1,49162E+14;1,94211E+16;5,66719E+13;1,41526E+16;4,21685E+13
;0;0;1,34183E+16;2,91105E+14;1,43851E+16;1,16167E+14;1,53194E+16;7,3106E+13;7,8503E+14;2,99121E+13
;0;0;1,64149E+16;2,46826E+14;8,70095E+14;1,3795E+14;8,96363E+14;7,359E+13;1,54718E+16;2,08297E+13
;0;0;2,82866E+14;1,36099E+14;8,56629E+14;2,61008E+13;1,11727E+16;5,34871E+13;1,90401E+14;2,9042E+13
;0;0;1,55362E+16;8,49591E+13;1,02981E+16;7,97561E+13;1,31134E+16;2,98173E+13;5,474E+14;3,63488E+13
;0;0;1,88646E+14;2,10127E+14;1,57543E+16;2,17846E+14;2,49564E+16;3,02762E+13;8,40905E+14;3,33238E+13
;0;0;1,64281E+16;1,09111E+14;1,2046E+16;1,32821E+14;1,09193E+16;4,16816E+13;6,61254E+14;3,8559E+13
;0;0;3,05564E+16;4,04485E+14;9,12982E+14;1,2656E+14;1,43835E+16;7,82153E+13;1,60035E+16;1,13706E+13
;0;0;1,86838E+16;3,78834E+14;1,14554E+16;1,14536E+14;1,0511E+16;5,88855E+13;5,48095E+14;5,44139E+13
;0;0;8,88642E+14;1,11793E+14;1,62133E+16;3,46753E+13;7,4769E+14;2,50996E+13;7,73762E+14;3,06508E+13
;0;0;3,89959E+14;1,23812E+14;2,55271E+16;1,85434E+14;1,15932E+16;5,74065E+13;2,35464E+16;1,05866E+13
;0;0;1,73297E+16;1,0678E+14;5,52707E+14;1,09277E+14;4,51892E+14;8,55108E+13;2,06393E+16;2,48669E+13
;0;0;1,85026E+16;2,95292E+14;5,3375E+14;7,26654E+13;1,98879E+16;7,02962E+13;4,48794E+14;1,54668E+13
;0;0;7,5244E+14;2,26805E+14;4,97361E+14;7,96707E+13;6,04909E+14;5,10749E+13;2,18382E+16;6,5287E+13
;0;0;5,68305E+14;2,16618E+13;2,33985E+16;1,86691E+14;2,12547E+16;1,0176E+14;1,73437E+16;1,54632E+13
;0;0;1,71579E+16;4,39912E+14;1,40517E+16;2,23494E+14;1,23577E+16;6,58411E+13;1,02569E+16;2,57419E+13
;0;0;1,78051E+16;4,24157E+14;1,01951E+16;1,59191E+14;1,03412E+16;1,06059E+14;1,1246E+16;5,2627E+12
